sweep,value,runs,successes,success_rate,median_gen_success,min_gen_success,max_gen_success,median_final_error_pct,mean_elapsed_s,mean_best_cogs,mean_powered_cogs,mean_total_mass
max_cog_teeth,16,8,0,0.000,None,None,None,45.0000,23.4,7.4,7.4,1638
max_cog_teeth,24,8,2,0.250,26774.0,20214,33334,14.0625,26.8,7.6,7.6,3299
max_cog_teeth,40,8,7,0.875,34944,2767,62065,0.2045,24.8,6.9,6.9,5968
max_cog_teeth,60,8,7,0.875,6510,2320,74850,0.2050,24.3,6.0,6.0,9718
max_cog_teeth,120,8,8,1.000,3169.0,2266,5082,0.0513,23.2,5.5,5.5,23414
max_cogs,5,8,8,1.000,4726.5,1140,37393,0.0290,19.4,5.0,5.0,24367
max_cogs,6,8,8,1.000,3315.5,1914,14217,0.0089,21.5,5.2,5.2,24805
max_cogs,8,8,8,1.000,3858.0,2386,21237,0.0239,22.2,5.2,5.2,20353
max_cogs,12,8,8,1.000,3169.0,2266,5082,0.0513,23.2,5.5,5.5,23414
max_cogs,16,8,8,1.000,4220.0,1504,63279,0.0463,24.0,5.8,5.8,22949
max_meshes_per_cog,2,8,8,1.000,3169.0,2266,5082,0.0513,23.2,5.5,5.5,23414
max_meshes_per_cog,3,8,8,1.000,3947.0,2662,41301,0.0738,23.6,5.4,5.4,22280
max_meshes_per_cog,4,8,8,1.000,7424.5,2664,15168,0.0897,22.5,5.1,5.1,24056
max_meshes_per_cog,6,8,8,1.000,9894.5,3202,53207,0.0317,21.2,5.0,5.0,24438
max_meshes_per_cog,8,8,8,1.000,9894.5,3202,53207,0.0317,23.1,5.0,5.0,24438
material_weight,0,8,8,1.000,5188.5,2252,7756,0.0585,38.2,11.8,10.6,70978
material_weight,50,8,8,1.000,3464.0,1895,8284,0.0521,23.4,5.5,5.5,25517
material_weight,100,8,8,1.000,3169.0,2266,5082,0.0513,23.2,5.5,5.5,23414
material_weight,200,8,8,1.000,5865.5,3111,12293,0.0370,23.2,5.5,5.5,23691
material_weight,400,8,8,1.000,5457.0,3070,17201,0.0542,22.5,5.4,5.4,19998
population_size,10,8,8,1.000,7814.5,1425,36572,0.0063,20.8,5.1,5.1,29005
population_size,25,8,8,1.000,1874.0,944,87745,0.0025,22.5,5.6,5.6,28052
population_size,50,8,8,1.000,8482.5,2128,43073,0.0869,25.1,6.1,6.1,33011
population_size,100,8,8,1.000,3169.0,2266,5082,0.0513,23.2,5.5,5.5,23414
population_size,250,8,8,1.000,7096.0,5208,82596,0.1258,23.7,5.4,5.4,24363
mutation_rate,0.0,8,8,1.000,4867.0,1810,13452,0.0703,22.8,5.9,5.9,28778
mutation_rate,0.2,8,8,1.000,4494.0,2826,11893,0.0400,23.1,5.2,5.2,24686
mutation_rate,0.35,8,8,1.000,3169.0,2266,5082,0.0513,23.2,5.5,5.5,23414
mutation_rate,0.6,8,8,1.000,4602.0,2075,8954,0.0141,23.4,5.5,5.5,21759
mutation_rate,0.9,8,8,1.000,3751.5,2212,10834,0.0746,29.4,6.9,6.9,28458
selection,random,8,8,1.000,5643.0,3673,7229,0.0228,25.9,6.4,6.4,22298
selection,best,8,8,1.000,2898.0,1057,23766,0.0220,23.0,5.4,5.4,28329
selection,tournament-2,8,8,1.000,5461.5,3785,17491,0.0202,25.0,5.9,5.9,25052
selection,tournament-4,8,8,1.000,3169.0,2266,5082,0.0513,23.2,5.5,5.5,23414
selection,tournament-8,8,8,1.000,4276.5,2005,73302,0.1137,23.3,5.8,5.8,25110
selection,tournament-16,8,8,1.000,5386.5,955,13118,0.0477,19.8,5.6,5.6,26723
